id,time,ppg_signal,heart_rate,avg_temp,max_temp,min_temp,thermal_diff,velocity_mean,velocity_peak,flow_direction
1,0.0,0.025,71.6,36.97,36.97,36.66,0.31,0.61,0.81,1
2,0.02,-0.003,73.5,36.94,37.13,36.34,0.79,0.59,0.82,0
3,0.04,0.04,72.0,36.33,36.61,35.97,0.64,0.74,0.96,0
4,0.06,0.088,75.6,37.09,37.52,36.67,0.85,0.83,0.97,1
5,0.08,0.004,81.0,36.05,36.65,35.51,1.14,0.7,0.89,0
6,0.1,0.008,71.1,36.47,37.01,36.08,0.93,0.75,0.98,0
7,0.12,0.103,80.0,35.8,35.959999999999994,35.76,0.2,0.57,0.79,0
8,0.14,0.066,71.1,37.58,37.91,36.97,0.94,0.62,0.78,1
9,0.16,0.009,70.8,36.68,37.1,36.03,1.07,0.82,1.04,1
10,0.18,0.063,79.1,37.88,38.23,37.85,0.38,0.68,0.93,0
11,0.2,0.017,79.6,37.2,37.55,37.010000000000005,0.54,0.56,0.71,0
12,0.22,0.021,79.3,37.02,37.080000000000005,36.220000000000006,0.86,0.6,0.7,0
13,0.24,0.06,68.4,36.51,36.68,36.06,0.62,0.76,1.05,1
14,0.26,-0.044,72.7,36.28,36.6,35.88,0.72,0.77,0.99,1
15,0.28,-0.03,79.1,37.06,36.84,36.75,0.09,0.47,0.65,1
16,0.3,0.032,75.2,36.76,37.29,36.57,0.72,0.65,0.83,0
17,0.32,0.013,69.6,36.13,36.260000000000005,35.77,0.49,0.6,0.81,0
18,0.34,0.084,77.3,36.04,36.58,35.45,1.13,0.59,0.84,1
19,0.36,0.027,71.4,36.32,36.84,35.92,0.92,0.8,0.92,1
20,0.38,0.005,84.0,37.71,38.0,37.19,0.81,0.56,0.74,1
21,0.4,0.153,82.7,37.91,38.51,37.16,1.35,0.51,0.79,1
22,0.42,0.073,78.0,36.9,37.45,36.62,0.83,0.48,0.72,1
23,0.44,0.091,81.8,36.87,37.21,36.41,0.8,0.57,0.81,0
24,0.46,0.021,75.3,36.63,36.95,36.03,0.92,0.49,0.71,1
25,0.48,0.069,78.8,36.33,36.95,36.12,0.83,0.47,0.69,0
26,0.5,0.105,82.4,37.49,37.940000000000005,37.05,0.89,0.47,0.65,0
27,0.52,0.046,76.2,37.74,38.35,36.97,1.38,0.48,0.65,0
28,0.54,0.127,73.7,36.35,36.27,36.02,0.25,0.49,0.73,0
29,0.56,0.082,66.5,36.76,37.18,36.15,1.03,0.66,0.83,0
30,0.58,0.101,74.6,36.58,36.66,36.21,0.45,0.31,0.52,0
31,0.6,0.09,79.1,36.59,36.98,35.830000000000005,1.15,0.49,0.7,1
32,0.62,0.216,79.7,37.39,37.93,37.32,0.61,0.58,0.89,0
33,0.64,0.127,77.5,36.14,36.89,35.730000000000004,1.16,0.77,0.96,1
34,0.66,0.079,72.3,37.03,37.24,36.93,0.31,0.56,0.82,1
35,0.68,0.177,65.1,37.16,37.45,36.9,0.55,0.58,0.82,1
36,0.7,0.079,72.5,36.73,37.11,36.47,0.64,0.59,0.78,0
37,0.72,0.154,73.5,37.25,37.46,36.9,0.56,0.33,0.47,0
38,0.74,0.049,73.4,36.87,37.47,36.71,0.76,0.7,0.9,0
39,0.76,0.085,78.1,37.41,37.8,37.02,0.78,0.69,0.93,1
40,0.78,0.165,84.9,36.04,36.46,35.55,0.91,0.72,0.86,0
41,0.8,0.196,75.6,36.63,37.150000000000006,36.54,0.61,0.98,1.22,1
42,0.82,0.172,73.9,36.76,37.15,36.49,0.66,0.41,0.68,1
43,0.84,0.161,73.7,35.46,35.7,34.550000000000004,1.15,0.38,0.58,0
44,0.86,0.156,75.6,36.26,36.65,35.79,0.86,0.71,0.96,1
45,0.88,0.101,70.9,36.39,36.62,36.35,0.27,0.55,0.76,1
46,0.9,0.143,75.6,37.27,37.690000000000005,37.150000000000006,0.54,0.45,0.68,1
47,0.92,0.16,77.3,36.45,37.05,36.0,1.05,0.56,0.83,1
48,0.94,0.24,76.0,36.39,36.56,35.97,0.59,0.51,0.63,1
49,0.96,0.208,77.3,37.21,37.3,36.93,0.37,0.86,1.02,1
50,0.98,0.107,77.2,35.99,36.4,35.15,1.25,0.94,1.2,0
51,1.0,0.215,66.1,35.76,36.01,34.84,1.17,0.35,0.62,1
52,1.02,0.183,78.2,36.62,37.03,36.27,0.76,0.38,0.51,0
53,1.04,0.173,71.6,36.08,36.54,35.51,1.03,0.49,0.77,1
54,1.06,0.241,69.5,36.1,36.07,35.52,0.55,0.5,0.57,1
55,1.08,0.266,69.5,37.09,37.63,36.48,1.15,0.48,0.71,1
56,1.1,0.265,77.2,37.24,37.41,36.97,0.44,0.57,0.78,1
57,1.12,0.18,73.9,37.19,37.59,36.4,1.19,0.53,0.69,1
58,1.14,0.211,66.6,37.35,37.620000000000005,36.96,0.66,0.4,0.57,1
59,1.16,0.246,77.4,37.42,37.71,36.940000000000005,0.77,0.45,0.62,0
60,1.18,0.283,67.8,35.74,36.48,35.34,1.14,0.83,1.02,1
61,1.2,0.214,75.7,37.03,37.49,36.66,0.83,0.55,0.85,1
62,1.22,0.232,76.2,36.54,37.12,36.08,1.04,0.54,0.78,1
63,1.24,0.19,79.4,36.43,36.86,36.27,0.59,0.37,0.64,0
64,1.26,0.19,83.9,37.08,37.6,37.07,0.53,0.53,0.71,1
65,1.28,0.294,68.2,35.93,36.41,35.57,0.84,0.74,0.95,1
66,1.3,0.325,74.7,35.92,36.370000000000005,35.7,0.67,0.69,0.84,1
67,1.32,0.257,73.6,37.12,37.74,36.61,1.13,0.72,0.91,0
68,1.34,0.315,77.2,37.04,37.47,36.55,0.92,0.42,0.59,1
69,1.36,0.287,76.1,36.87,37.73,36.47,1.26,0.42,0.64,1
70,1.38,0.24,73.2,36.36,36.95,35.66,1.29,0.77,0.93,1
71,1.4,0.294,72.8,37.17,37.34,36.77,0.57,0.72,0.88,1
72,1.42,0.357,69.4,37.14,37.5,37.03,0.47,0.56,0.78,1
73,1.44,0.282,79.9,36.84,37.32,36.48,0.84,0.73,0.93,1
74,1.46,0.366,77.3,36.21,36.62,35.58,1.04,0.42,0.58,0
75,1.48,0.161,79.6,36.59,37.13,36.57,0.56,0.41,0.57,1
76,1.5,0.337,73.4,37.22,37.78,36.84,0.94,0.36,0.52,1
77,1.52,0.304,71.7,37.46,37.59,36.94,0.65,0.65,0.89,0
78,1.54,0.288,69.6,36.64,37.3,35.71,1.59,0.63,0.85,0
79,1.56,0.312,76.8,36.68,36.98,36.04,0.94,0.52,0.68,0
80,1.58,0.211,69.8,36.72,37.0,36.29,0.71,0.48,0.64,1
81,1.6,0.304,84.2,36.94,37.22,36.44,0.78,0.96,1.1,1
82,1.62,0.336,68.5,36.51,37.07,36.49,0.58,0.56,0.74,1
83,1.64,0.396,76.4,35.35,35.7,35.160000000000004,0.54,0.81,1.02,1
84,1.66,0.3,82.8,37.4,37.67,36.87,0.8,0.58,0.74,0
85,1.68,0.289,78.0,37.7,38.02,37.27,0.75,0.52,0.83,1
86,1.7,0.308,75.9,36.49,36.53,36.03,0.5,0.81,1.04,0
87,1.72,0.383,70.2,36.27,36.5,35.86000000000001,0.64,0.72,0.92,1
88,1.74,0.357,68.1,36.73,36.88,36.33,0.55,0.6,0.8,0
89,1.76,0.318,78.9,36.71,37.06,36.29,0.77,0.77,0.9,1
90,1.78,0.374,82.5,37.3,37.83,37.11,0.72,0.98,1.12,0
91,1.8,0.357,72.8,36.83,37.34,36.48,0.86,0.49,0.76,0
92,1.82,0.404,69.3,36.4,37.05,36.25,0.8,0.67,0.95,0
93,1.84,0.325,62.7,36.14,36.75,35.86,0.89,0.54,0.63,0
94,1.86,0.347,70.1,37.23,37.52,36.59,0.93,0.46,0.68,0
95,1.88,0.348,74.4,37.1,37.5,36.74,0.76,0.46,0.73,1
96,1.9,0.298,83.0,37.33,37.72,36.81,0.91,0.84,1.02,1
97,1.92,0.389,78.4,36.32,36.29,35.9,0.39,0.33,0.61,0
98,1.94,0.391,76.5,37.72,37.88,37.4,0.48,0.68,0.92,0
99,1.96,0.382,73.0,35.93,36.3,35.73,0.57,0.48,0.7,0
100,1.98,0.374,72.1,37.15,37.52,36.83,0.69,0.87,1.06,1
101,2.0,0.319,82.0,35.85,36.35,35.410000000000004,0.94,0.56,0.76,1
102,2.02,0.372,76.0,36.4,36.89,35.879999999999995,1.01,0.55,0.73,0
103,2.04,0.38,64.5,37.58,37.63,37.16,0.47,0.84,1.05,1
104,2.06,0.36,71.6,37.22,37.72,36.69,1.03,0.73,0.94,1
105,2.08,0.396,70.7,36.53,36.97,36.43,0.54,0.68,0.86,1
106,2.1,0.428,72.3,36.54,37.06,35.97,1.09,0.72,0.82,1
107,2.12,0.506,77.8,36.85,37.46,36.68,0.78,0.44,0.63,1
108,2.14,0.424,74.5,37.06,37.43,36.46,0.97,0.71,0.86,0
109,2.16,0.432,74.6,37.43,38.08,36.93,1.15,0.57,0.71,1
110,2.18,0.419,81.6,36.57,36.79,36.54,0.25,0.65,0.82,1
111,2.2,0.33,71.5,35.99,36.2,35.440000000000005,0.76,0.67,0.91,0
112,2.22,0.428,84.3,36.88,37.370000000000005,36.28,1.09,0.43,0.57,0
113,2.24,0.436,71.6,36.57,36.9,35.92,0.98,0.69,0.85,1
114,2.26,0.56,75.4,36.15,36.6,35.9,0.7,0.57,0.81,0
115,2.28,0.431,73.6,36.95,37.75,36.510000000000005,1.24,0.41,0.57,0
116,2.3,0.459,75.6,36.69,37.17,36.15,1.02,0.58,0.72,1
117,2.32,0.446,77.2,36.95,37.39,36.400000000000006,0.99,0.6,0.84,0
118,2.34,0.393,77.2,36.35,36.58,35.870000000000005,0.71,0.69,0.88,1
119,2.36,0.512,71.2,37.04,37.1,36.73,0.37,0.24,0.44,0
120,2.38,0.496,69.4,36.14,36.53,35.54,0.99,0.66,0.85,1
121,2.4,0.501,87.5,36.39,37.0,35.79,1.21,0.52,0.74,0
122,2.42,0.42,72.6,36.68,37.02,36.31,0.71,0.72,0.95,0
123,2.44,0.539,78.5,37.67,38.15,37.43,0.72,0.6,0.79,1
124,2.46,0.402,67.0,37.19,37.88,36.94,0.94,0.55,0.68,1
125,2.48,0.505,73.6,37.34,38.02,36.67,1.35,0.57,0.78,0
126,2.5,0.589,74.4,37.51,38.0,36.92,1.08,0.65,0.83,1
127,2.52,0.433,77.4,38.6,39.03,38.2,0.83,0.74,0.98,1
128,2.54,0.458,61.4,36.82,36.92,36.46,0.46,0.47,0.63,1
129,2.56,0.495,75.8,37.51,37.78,37.46,0.32,0.55,0.73,0
130,2.58,0.468,69.3,37.31,37.650000000000006,36.93,0.72,0.82,0.95,1
131,2.6,0.419,76.6,37.3,37.53,37.14,0.39,0.55,0.79,1
132,2.62,0.504,69.8,37.69,38.14,37.26,0.88,0.66,0.92,1
133,2.64,0.451,70.7,36.59,37.370000000000005,35.95,1.42,0.41,0.59,1
134,2.66,0.531,73.6,36.55,37.25,36.35,0.9,0.34,0.53,1
135,2.68,0.465,69.7,36.96,37.41,36.51,0.9,0.44,0.6,1
136,2.7,0.592,72.6,36.71,37.27,36.11,1.16,0.5,0.66,0
137,2.72,0.478,69.0,36.96,37.21,36.52,0.69,0.76,0.99,0
138,2.74,0.505,65.8,37.58,38.27,37.28,0.99,0.77,0.94,0
139,2.76,0.565,80.1,36.56,36.650000000000006,36.16,0.49,0.31,0.53,1
140,2.78,0.466,68.5,36.65,37.23,36.06,1.17,0.52,0.72,1
141,2.8,0.543,74.1,36.89,37.39,36.44,0.95,0.7,0.94,1
142,2.82,0.6,78.8,36.69,36.94,36.29,0.65,0.58,0.76,0
143,2.84,0.458,71.9,35.84,36.2,35.21,0.99,0.83,1.08,0
144,2.86,0.551,70.9,36.51,36.68,36.01,0.67,0.7,0.99,0
145,2.88,0.558,76.1,37.14,37.32,36.98,0.34,0.56,0.67,0
146,2.9,0.587,80.6,37.52,37.6,36.99,0.61,0.57,0.77,1
147,2.92,0.49,69.2,36.22,36.77,35.629999999999995,1.14,0.59,0.79,1
148,2.94,0.489,74.2,36.22,36.86,36.07,0.79,0.47,0.63,1
149,2.96,0.584,66.3,36.82,36.79,36.87,-0.08,0.74,0.96,1
150,2.98,0.576,73.0,35.76,36.53,35.57,0.96,0.71,0.97,1
151,3.0,0.577,75.2,36.58,36.98,36.2,0.78,0.67,0.77,0
152,3.02,0.585,70.7,35.93,36.39,35.33,1.06,0.64,0.74,0
153,3.04,0.537,72.7,37.48,37.59,37.26,0.33,0.45,0.73,1
